"ApoA1" "ApoB" "BisDBRatio" "BisFARatio" "CH2DBRatio" "CH2InFA" "DBInFA" "DHA" "EstC" "FALen" "FAw3" "FAw6" "FAw79S" "FreeC" "Gln" "Glol" "LLDLFC" "Gp" "HDLC" "HDLD" "IDLC" "IDLFC" "IDLL" "IDLPL" "IDLP" "IDLTG" "LA" "LDLC" "LDLD" "LHDLCE" "LHDLC" "LHDLFC" "LHDLL" "LHDLPL" "LHDLP" "LLDLCE" "LLDLC" "MVLDLFC" "LLDLL" "LLDLPL" "LLDLP" "LVLDLCE" "LVLDLC" "LVLDLFC" "LVLDLL" "LVLDLPL" "LVLDLP" "LVLDLTG" "MHDLCE" "MHDLC" "MHDLFC" "MHDLL" "MHDLPL" "MHDLP" "MLDLCE" "MLDLC" "MLDLL" "MLDLPL" "MLDLP" "MUFA" "MVLDLCE" "MVLDLC" "TotPG" "MVLDLL" "MVLDLPL" "MVLDLP" "MVLDLTG" "OtPUFA" "PC" "SerumC" "SerumTG" "SHDLL" "SHDLP" "SHDLTG" "SLDLC" "SLDLL" "SLDLP" "SM" "SVLDLC" "SVLDLFC" "SVLDLL" "SVLDLPL" "SVLDLP" "SVLDLTG" "TotFA" "VLDLD" "XLHDLCE" "XLHDLC" "XLHDLFC" "XLHDLL" "XLHDLPL" "XLHDLP" "XLHDLTG" "XLVLDLL" "XLVLDLPL" "XLVLDLP" "XLVLDLTG" "XSVLDLL" "XSVLDLPL" "XSVLDLP" "XSVLDLTG" "XXLVLDLL" "XXLVLDLPL" "XXLVLDLTG" "Gly"
"rs72727284" 0.881728 0.101544 0.077978 0.044243 0.027209 0.064291 0.129508 0.098287 0.723415 0.181643 0.060435 0.151156 0.54056 0.096488 0.908308 0.762707 0.480433 0.204238 0.279089 0.37594 0.394532 0.408521 0.340433 0.29282 0.292324 0.20293 0.184113 0.494117 0.694642 0.448199 0.317195 0.273033 0.468519 0.510694 0.488312 0.299472 0.441946 0.226222 0.312403 0.423254 0.308313 0.191329 0.242444 0.324819 0.367452 0.350554 0.368372 0.387977 0.651044 0.583057 0.928351 0.964653 0.97272 0.810726 0.298424 0.479054 0.338111 0.512738 0.323568 0.416519 0.091233 0.138906 0.25317 0.142724 0.15465 0.07282 0.223938 0.295 0.570853 0.292025 0.086107 0.762222 0.745304 0.22529 0.394826 0.477613 0.384553 0.756028 0.216487 0.033982 0.119777 0.229231 0.114531 0.148038 0.436179 0.111113 0.460191 0.398731 0.303269 0.459756 0.389559 0.406452 0.199324 0.653845 0.734067 0.388673 0.077272 0.312175 0.279106 0.221232 0.128589 0.934829 0.603031 0.141736 0.268572
"rs9489505" 0.984944 0.154877 0.417382 0.60779 0.829467 0.630651 0.796195 0.921839 0.329136 0.578736 0.669802 0.74694 0.398145 0.201478 0.843861 0.165603 0.037091 0.875427 0.563083 0.905942 0.048046 0.166907 0.086294 0.200867 0.113209 0.246169 0.538123 0.049705 0.30793 0.236641 0.265558 0.226826 0.15743 0.119396 0.136221 0.03154 0.030624 0.845278 0.039798 0.052307 0.048173 0.949031 0.827469 0.641464 0.821195 0.88489 0.582688 0.722539 0.378504 0.547067 0.815271 0.413691 0.624406 0.418907 0.028237 0.018791 0.029466 0.023224 0.032699 0.343577 0.626523 0.872595 0.976854 0.984064 0.941135 0.481714 0.679381 0.645607 0.925968 0.125006 0.747914 0.90622 0.865029 0.876004 0.089465 0.035972 0.036044 0.980253 0.082675 0.229001 0.25094 0.247815 0.346259 0.765334 0.367946 0.177262 0.69704 0.64271 0.872096 0.734966 0.309146 0.227047 0.658057 0.496812 0.476329 0.281278 0.771885 0.154453 0.204699 0.193598 0.326338 0.334473 0.440331 0.417845 0.900887
"rs151320013" 0.235709 0.714238 0.30288 0.56735 0.925549 0.587933 0.798223 0.096674 0.777112 0.599525 0.035274 0.705419 0.393429 0.351798 0.010843 0.589859 0.759213 0.806429 0.262874 0.583852 0.517071 0.830157 0.601109 0.776673 0.673519 0.868593 0.955175 0.930267 0.352018 0.591661 0.460103 0.373784 0.466987 0.37556 0.461134 0.673805 0.721609 0.49902 0.749352 0.733742 0.762362 0.91833 0.45874 0.409609 0.561865 0.607089 0.754685 0.691002 0.345082 0.181899 0.114796 0.234333 0.127386 0.213999 0.836227 0.998121 0.885903 0.835893 0.898046 0.349847 0.236871 0.355497 0.72203 0.499318 0.466266 0.568975 0.681331 0.113071 0.527804 0.967997 0.67766 0.477331 0.406871 0.42585 0.847544 0.911986 0.914243 0.697012 0.500907 0.551791 0.48348 0.588417 0.504627 0.718101 0.457587 0.701416 0.455202 0.577569 0.534126 0.48292 0.535272 0.471982 0.700498 0.671609 0.772998 0.859129 0.731681 0.615793 0.780586 0.668622 0.764147 0.528688 0.974388 0.865407 0.826259
"rs35445432" 0.059275 0.009923 0.306216 0.665947 0.974683 0.903579 0.782465 0.285008 0.01036 0.646701 0.685048 0.012461 0.13011 0.013243 0.920788 0.650922 0.000526 0.534758 0.575423 0.410197 0.000764 0.000519 0.000875 0.000545 0.000989 0.00365 0.015067 0.000947 0.696772 0.948966 0.897051 0.763221 0.557899 0.391524 0.437121 0.001186 0.000925 0.340741 0.000773 0.000953 0.000702 0.659084 0.688611 0.728004 0.696784 0.522824 0.522285 0.818362 0.747893 0.973302 0.321935 0.609413 0.358077 0.483844 0.001137 0.001189 0.001443 0.004569 0.001484 0.137856 0.077247 0.185919 0.04733 0.500995 0.284306 0.596864 0.742859 0.238305 0.037666 0.001285 0.206854 0.734977 0.916125 0.108426 0.001733 0.002577 0.003805 0.049487 0.049675 0.129836 0.150536 0.152363 0.206432 0.404617 0.057623 0.990783 0.594819 0.868008 0.866145 0.704377 0.603765 0.617905 0.009392 0.978157 0.721606 0.707897 0.930855 0.015024 0.001404 0.012509 0.053367 0.75668 0.490167 0.73333 0.040935
"rs4438172" 0.466001 0.988241 0.991206 0.73091 0.508424 0.856621 0.794483 0.803429 0.759931 0.609777 0.835977 0.769818 0.565434 0.694811 0.127336 0.010403 0.482844 0.943342 0.565553 0.382262 0.868023 0.710286 0.818754 0.712866 0.793472 0.56815 0.906486 0.4411 0.353459 0.498851 0.668853 0.969807 0.890618 0.706068 0.987334 0.564886 0.46504 0.98787 0.53115 0.417851 0.524865 0.629001 0.879963 0.922983 0.560889 0.570424 0.386123 0.376229 0.121308 0.081372 0.043947 0.087028 0.06255 0.082757 0.49262 0.414386 0.465723 0.471262 0.459995 0.469457 0.74427 0.942919 0.544489 0.86041 0.993791 0.953115 0.840847 0.901484 0.561296 0.804816 0.962395 0.024006 0.026857 0.892354 0.58057 0.371882 0.411039 0.864357 0.987213 0.76719 0.716978 0.670552 0.67965 0.82767 0.794185 0.7334 0.458479 0.559335 0.846188 0.463339 0.571873 0.488064 0.635496 0.967197 0.596687 0.727079 0.714014 0.931532 0.574725 0.780737 0.524328 0.784892 0.958091 0.966323 0.408506
"rs7481665" 0.243453 0.357748 0.568206 0.945379 0.818782 0.656776 0.540173 0.344867 0.443186 0.096145 0.241542 0.712326 0.401655 0.633202 0.647558 0.818327 0.190098 0.652026 0.47038 0.147714 0.260001 0.199611 0.306429 0.313838 0.339808 0.689256 0.296683 0.214939 0.393249 0.483675 0.407458 0.254543 0.488483 0.597173 0.551704 0.281141 0.249483 0.589045 0.25935 0.277847 0.281478 0.661261 0.960559 0.819161 0.895635 0.889718 0.793006 0.890189 0.825138 0.878004 0.933467 0.807002 0.869965 0.736587 0.251054 0.217377 0.229272 0.302618 0.243572 0.516277 0.978103 0.872295 0.486408 0.504073 0.502488 0.299197 0.35727 0.455357 0.775094 0.279748 0.832007 0.479557 0.528735 0.442314 0.153973 0.149023 0.193476 0.341154 0.815284 0.914978 0.937692 0.944759 0.849635 0.667228 0.580011 0.320022 0.09155 0.071658 0.058101 0.065119 0.091867 0.014587 0.405702 0.787836 0.704276 0.363947 0.847633 0.533788 0.459305 0.585425 0.989107 0.673606 0.60318 0.541625 0.476603
"rs147500169" 0.612854 0.621628 0.848816 0.626391 0.587512 0.306686 0.897493 0.928391 0.743657 0.268936 0.55714 0.390189 0.681439 0.750071 0.954074 0.439578 0.607575 0.947397 0.865964 0.779706 0.506987 0.719846 0.675326 0.881302 0.776065 0.807674 0.592348 0.5388 0.776993 0.945818 0.925718 0.904788 0.83184 0.73529 0.791577 0.474807 0.510567 0.467446 0.545812 0.707451 0.563581 0.956817 0.756694 0.68929 0.261322 0.190695 0.84631 0.268368 0.470168 0.421441 0.411114 0.311119 0.28971 0.285723 0.476151 0.491477 0.517688 0.549461 0.525486 0.958013 0.926907 0.790128 0.755807 0.550845 0.420401 0.557204 0.365246 0.573188 0.977846 0.531426 0.602483 0.80407 0.784869 0.790375 0.545708 0.647941 0.592061 0.018192 0.593897 0.722063 0.820411 0.86114 0.931134 0.85227 0.446096 0.625535 0.211321 0.307656 0.454835 0.440722 0.738711 0.283243 0.979574 0.640199 0.81124 0.53765 0.586015 0.965099 0.915584 0.953898 0.946243 0.871123 0.884955 0.380943 0.417585
"rs10999410" 0.8914 0.747459 0.904545 0.619219 0.810581 0.558014 0.56814 0.957947 0.721436 0.287873 0.866489 0.821677 0.769182 0.756571 0.967879 0.195449 0.860801 0.819529 0.520696 0.666485 0.529009 0.328808 0.403861 0.346222 0.335009 0.118012 0.463372 0.96782 0.084997 0.374478 0.456882 0.679619 0.773727 0.863479 0.894093 0.791037 0.806563 0.692923 0.75574 0.804009 0.697216 0.675667 0.62815 0.541978 0.23281 0.349569 0.471503 0.203138 0.554175 0.665206 0.739828 0.979951 0.710482 0.829471 0.869153 0.957997 0.944977 0.81926 0.959348 0.586575 0.807757 0.703443 0.831826 0.410015 0.676779 0.645342 0.417787 0.428999 0.9107 0.900932 0.86931 0.812287 0.945062 0.535758 0.871372 0.699929 0.781896 0.84876 0.20418 0.4792 0.669534 0.454211 0.72842 0.954943 0.943079 0.686765 0.238214 0.149287 0.207442 0.231948 0.426313 0.059125 0.992463 0.312683 0.309518 0.318821 0.299461 0.139341 0.093693 0.13836 0.230013 0.219204 0.170104 0.135687 0.413503
"rs3001200" 0.895557 0.709005 0.889121 0.450836 0.57136 0.892555 0.764975 0.418821 0.334354 0.476019 0.400707 0.725215 0.695333 0.455866 0.91421 0.106673 0.252926 0.354452 0.935716 0.67957 0.338607 0.374897 0.45203 0.609816 0.578121 0.995008 0.792271 0.400092 0.711732 0.978591 0.99826 0.841462 0.839033 0.743521 0.776913 0.356995 0.328812 0.514459 0.373288 0.426827 0.405527 0.533563 0.829176 0.247883 0.059892 0.077671 0.189245 0.05398 0.308591 0.292673 0.445096 0.187634 0.20805 0.158768 0.46743 0.419021 0.445487 0.44606 0.476385 0.596447 0.498251 0.414585 0.641887 0.161129 0.243534 0.256235 0.037864 0.764673 0.779881 0.565842 0.408234 0.738051 0.580251 0.301552 0.567495 0.651881 0.593337 0.35703 0.997283 0.838869 0.639246 0.700519 0.562948 0.386403 0.744622 0.370118 0.400935 0.477193 0.573448 0.721406 0.915047 0.765615 0.566039 0.133454 0.25641 0.277784 0.132871 0.927894 0.883145 0.952717 0.63424 0.232647 0.107032 0.355468 0.039024
"rs7133200" 0.299626 0.414625 0.828156 0.976563 0.522715 0.15663 0.407776 0.861724 0.326362 0.69807 0.936425 0.470064 0.599193 0.730329 0.084151 0.533765 0.727371 0.884683 0.215335 0.465513 0.734487 0.770805 0.618006 0.655877 0.566158 0.643953 0.528746 0.701622 0.615472 0.233918 0.289737 0.354617 0.213964 0.228346 0.20775 0.848418 0.769972 0.95602 0.766557 0.689949 0.74302 0.674535 0.993147 0.805191 0.675865 0.577382 0.451054 0.743782 0.51782 0.502233 0.318628 0.370472 0.417597 0.352895 0.928089 0.846144 0.833688 0.751211 0.785756 0.811185 0.53126 0.575961 0.328659 0.596875 0.839246 0.339039 0.909499 0.911768 0.299905 0.522013 0.727375 0.369225 0.357826 0.895641 0.842651 0.746794 0.692956 0.245117 0.95713 0.952813 0.915922 0.704854 0.897281 0.793668 0.525648 0.296532 0.489332 0.655987 0.911704 0.713111 0.7381 0.552756 0.433922 0.805817 0.942169 0.559687 0.808692 0.560768 0.770787 0.581531 0.846364 0.999798 0.860019 0.460536 0.429243
"rs73066646" 0.926116 0.897304 0.599884 0.719901 0.848708 0.972231 0.85743 0.647047 0.575301 0.173089 0.624608 0.972461 0.875777 0.483653 0.746296 0.762696 0.967673 0.951342 0.565321 0.917965 0.778327 0.558994 0.887067 0.637753 0.944931 0.64104 0.802983 0.952489 0.595031 0.616165 0.521093 0.65608 0.784203 0.870193 0.819517 0.755678 0.938412 0.336559 0.797062 0.862188 0.81443 0.687344 0.121914 0.138715 0.501967 0.559067 0.687963 0.332104 0.692865 0.575077 0.763544 0.803085 0.712056 0.828548 0.838227 0.86243 0.848121 0.791764 0.882817 0.589517 0.977243 0.522505 0.814967 0.752214 0.375915 0.753411 0.283721 0.938981 0.93156 0.778499 0.772754 0.886862 0.871234 0.441834 0.892871 0.911782 0.929721 0.817342 0.416728 0.513395 0.772009 0.393773 0.746231 0.519399 0.941949 0.371628 0.584692 0.398033 0.41993 0.64258 0.676347 0.546329 0.766162 0.374403 0.224931 0.702044 0.302305 0.585888 0.716297 0.581753 0.615873 0.366004 0.145399 0.94593 0.687289
"rs75760237" 0.873457 0.474934 0.545016 0.464041 0.691766 0.651692 0.758298 0.763164 0.762889 0.182404 0.639305 0.667045 0.456209 0.441314 0.336269 0.548333 0.635817 0.660965 0.886794 0.778804 0.670916 0.786424 0.643103 0.795215 0.631009 0.367099 0.641822 0.402232 0.245813 0.528878 0.51233 0.576261 0.516303 0.58405 0.526836 0.458928 0.497354 0.480612 0.48617 0.599674 0.450994 0.670382 0.715501 0.480698 0.633521 0.770011 0.652445 0.513117 0.468667 0.488732 0.717261 0.660166 0.790443 0.683553 0.335187 0.348409 0.33019 0.348049 0.312948 0.414088 0.570131 0.459457 0.895988 0.383084 0.572841 0.377089 0.50883 0.835717 0.77158 0.518806 0.230692 0.63084 0.598363 0.502138 0.303966 0.336299 0.264965 0.539045 0.472222 0.277586 0.273365 0.273513 0.261351 0.246881 0.537082 0.510394 0.350323 0.525064 0.604381 0.758868 0.724523 0.930898 0.53539 0.43926 0.582776 0.394164 0.369356 0.5125 0.69183 0.497468 0.216586 0.475608 0.531946 0.388623 0.578082
"rs80297876" 0.482761 0.617592 0.88884 0.737689 0.22244 0.014044 0.713244 0.2337 0.64144 0.043766 0.414409 0.294657 0.459881 0.664686 0.684572 0.894439 0.410609 0.726601 0.83623 0.460429 0.453446 0.451637 0.455735 0.536338 0.474262 0.511388 0.38264 0.409071 0.860731 0.762041 0.746411 0.83242 0.724016 0.739168 0.714232 0.433983 0.415113 0.449151 0.408975 0.499051 0.430944 0.5324 0.576437 0.548037 0.556323 0.576274 0.601898 0.572066 0.671683 0.736167 0.893936 0.781035 0.792905 0.844813 0.432452 0.431247 0.461281 0.581535 0.466201 0.366069 0.44567 0.466383 0.923355 0.534623 0.485634 0.554853 0.561852 0.334389 0.876423 0.484478 0.576031 0.981757 0.739177 0.723154 0.444767 0.472844 0.490707 0.446504 0.308326 0.334912 0.384516 0.362387 0.415036 0.505675 0.395817 0.401152 0.853888 0.834393 0.817084 0.986293 0.840488 0.978766 0.734823 0.627596 0.630028 0.649563 0.614927 0.396245 0.438743 0.416271 0.496004 0.74098 0.899468 0.65257 0.86048
"rs140676461" 0.784591 0.633372 0.491768 0.623626 0.581947 0.155527 0.67028 0.628958 0.734163 0.051097 0.874833 0.703775 0.535789 0.541222 0.850001 0.92679 0.84192 0.594228 0.602661 0.502343 0.927187 0.543739 0.717728 0.44538 0.660923 0.595176 0.963294 0.98709 0.322258 0.953023 0.81718 0.613585 0.605562 0.422105 0.522007 0.937154 0.974647 0.59128 0.919105 0.874427 0.887381 0.719115 0.390633 0.343373 0.307989 0.464375 0.656025 0.205264 0.766956 0.653484 0.38896 0.451192 0.324529 0.354667 0.938254 0.916816 0.914356 0.687015 0.939806 0.728753 0.554831 0.56881 0.667265 0.535967 0.703397 0.410284 0.372568 0.957022 0.732109 0.957326 0.635089 0.34743 0.601028 0.535567 0.917424 0.869269 0.849685 0.586793 0.768418 0.750491 0.735117 0.866659 0.745117 0.639237 0.584782 0.218426 0.999468 0.99523 0.715829 0.680562 0.50989 0.254496 0.669318 0.289252 0.345343 0.328973 0.305862 0.587816 0.305033 0.58246 0.914336 0.515743 0.44075 0.562423 0.243653
"rs10116778" 0.966972 0.811359 0.078467 0.12227 0.31453 0.52297 0.289108 0.190482 0.547173 0.211804 0.20154 0.224662 0.44664 0.462983 0.047793 0.116659 0.826033 0.656201 0.978287 0.64371 0.808443 0.889759 0.725861 0.995432 0.639504 0.424366 0.242933 0.585105 0.744354 0.92771 0.940797 0.857611 0.984933 0.978821 0.95807 0.844384 0.781746 0.451714 0.828965 0.972944 0.782952 0.747188 0.694278 0.496991 0.765288 0.351202 0.790088 0.435319 0.348406 0.269088 0.256606 0.287452 0.220453 0.277886 0.710312 0.457827 0.76666 0.519418 0.733284 0.65533 0.828327 0.588501 0.288664 0.881743 0.459703 0.744781 0.414223 0.60313 0.24947 0.978866 0.727058 0.525096 0.477082 0.886845 0.932355 0.98417 0.822019 0.865769 0.853589 0.924113 0.966979 0.769269 0.940122 0.929959 0.416184 0.219404 0.236427 0.201019 0.264987 0.379242 0.541273 0.938059 0.564104 0.89674 0.5704 0.896742 0.613427 0.548242 0.666679 0.55418 0.551252 0.937849 0.65911 0.526086 0.796018
"rs77709146" 0.040388 0.448318 0.046058 0.041851 0.088717 0.036053 0.269259 0.329427 0.819338 0.685893 0.382966 0.634113 0.297673 0.907185 0.055096 0.844874 0.423418 0.203209 0.017276 0.38598 0.258509 0.186142 0.268659 0.210449 0.266491 0.416453 0.474275 0.585862 0.008143 0.055969 0.073303 0.203493 0.138284 0.210035 0.170752 0.488443 0.501772 0.906845 0.519761 0.561535 0.54176 0.961892 0.836666 0.94851 0.662683 0.859148 0.746953 0.443137 0.022833 0.025993 0.06151 0.032601 0.038516 0.038263 0.574255 0.646327 0.754621 0.962715 0.814339 0.249286 0.364296 0.584682 0.481158 0.856805 0.935171 0.939398 0.561478 0.322958 0.376874 0.929721 0.964566 0.099008 0.059828 0.567188 0.838486 0.962327 0.80845 0.411799 0.22979 0.355648 0.457343 0.361597 0.540132 0.791437 0.380191 0.520775 0.046504 0.035062 0.049863 0.073491 0.178293 0.067651 0.814983 0.866479 0.914297 0.57571 0.803624 0.119683 0.089677 0.15374 0.505346 0.731249 0.752695 0.758135 0.308816
"rs116934890" 0.130932 0.536188 0.231935 0.36833 0.785763 0.793871 0.395809 0.022295 0.489898 0.080505 0.083188 0.465759 0.220872 0.090868 0.582588 0.186039 0.668096 0.367555 0.085196 0.113602 0.369732 0.352713 0.263488 0.275518 0.236845 0.148558 0.48083 0.791551 0.213391 0.089582 0.094659 0.137657 0.056629 0.047223 0.048134 0.719993 0.713102 0.505392 0.624824 0.600878 0.576264 0.599922 0.435541 0.427561 0.415303 0.743421 0.460335 0.321343 0.123978 0.08155 0.043228 0.051565 0.042583 0.043186 0.797535 0.872379 0.822063 0.792508 0.776381 0.279431 0.458492 0.460643 0.033744 0.491232 0.512467 0.487135 0.459515 0.040306 0.031049 0.261603 0.433151 0.592135 0.636362 0.89569 0.85123 0.867535 0.702127 0.213923 0.541921 0.392654 0.463399 0.384443 0.460881 0.530458 0.243877 0.738635 0.448173 0.548936 0.451579 0.342683 0.259529 0.664036 0.025175 0.583842 0.958976 0.943416 0.600482 0.103672 0.130064 0.116662 0.234543 0.910079 0.793885 0.934056 0.921621
"rs76048765" 0.602924 0.078545 0.637693 0.876032 0.353172 0.033086 0.84629 0.878779 0.18558 0.081463 0.823047 0.262334 0.097758 0.004314 0.365499 0.81691 0.220559 0.183153 0.735563 0.695539 0.206115 0.302912 0.242671 0.266669 0.255225 0.343428 0.442945 0.107762 0.169769 0.896697 0.942241 0.94321 0.961775 0.929816 0.966493 0.12452 0.13277 0.03653 0.138808 0.152182 0.134555 0.049732 0.090727 0.052519 0.08958 0.035849 0.086887 0.079066 0.765901 0.789538 0.886111 0.760465 0.780737 0.747323 0.109497 0.106721 0.102811 0.076255 0.094505 0.050207 0.036529 0.033767 0.14669 0.076913 0.05848 0.313099 0.193638 0.176215 0.08181 0.05991 0.051268 0.766312 0.669241 0.652512 0.072231 0.061795 0.05268 0.052115 0.151442 0.27187 0.148037 0.1788 0.152446 0.168583 0.105597 0.697921 0.404069 0.392408 0.408371 0.415949 0.587069 0.469728 0.155526 0.037087 0.033919 0.058787 0.169597 0.342943 0.353259 0.650421 0.26991 0.02991 0.04582 0.188019 0.117537
"rs6514382" 0.878297 0.169412 0.861028 0.539359 0.238306 0.653887 0.560155 0.122011 0.759749 0.386067 0.266601 0.409942 0.385289 0.420713 0.495083 0.950784 0.996938 0.660497 0.927278 0.891801 0.584155 0.924693 0.575368 0.694242 0.578241 0.322028 0.547998 0.820342 0.652648 0.989421 0.864389 0.641794 0.82186 0.696164 0.729124 0.757101 0.960123 0.494915 0.779127 0.834559 0.748531 0.28817 0.375028 0.344573 0.154529 0.135873 0.18478 0.134668 0.628893 0.676776 0.570384 0.429541 0.469792 0.359077 0.78977 0.84671 0.878972 0.602155 0.849493 0.393636 0.364917 0.628234 0.227793 0.374161 0.383706 0.288862 0.458948 0.190374 0.237562 0.47106 0.316713 0.871179 0.840668 0.610485 0.945901 0.884691 0.882882 0.920054 0.819973 0.703475 0.491292 0.697904 0.493994 0.598519 0.374367 0.478661 0.560705 0.401192 0.271012 0.37854 0.410957 0.215829 0.240789 0.492006 0.442259 0.192617 0.433296 0.453495 0.450658 0.413969 0.310999 0.57606 0.89906 0.607689 0.268475
"rs150966228" 0.991313 0.960971 0.302793 0.565049 0.957557 0.868554 0.693133 0.851324 0.487276 0.547108 0.887898 0.810351 0.990728 0.808028 0.716673 0.804572 0.496604 0.914585 0.780885 0.504975 0.686256 0.474255 0.763247 0.742819 0.831509 0.865354 0.646554 0.735095 0.601852 0.733887 0.659232 0.489294 0.684727 0.707581 0.704503 0.731778 0.667114 0.280101 0.700113 0.771824 0.746612 0.19406 0.161748 0.103283 0.158612 0.394749 0.312519 0.115657 0.829315 0.814521 0.857057 0.966135 0.861892 0.862078 0.831601 0.76474 0.848441 0.958898 0.868025 0.467216 0.447769 0.38521 0.686873 0.210171 0.211579 0.363211 0.121844 0.964728 0.806561 0.992137 0.216519 0.75051 0.657603 0.162015 0.866185 0.952926 0.996005 0.415736 0.685803 0.55051 0.470407 0.472984 0.406789 0.287819 0.965261 0.163763 0.843534 0.780371 0.508086 0.638007 0.50655 0.599783 0.471483 0.10428 0.17542 0.176801 0.073587 0.994877 0.837789 0.926129 0.48207 0.1571 0.228545 0.293507 0.065666
"rs17121092" 0.323744 0.178753 0.093597 0.192909 0.249353 0.251499 0.526743 0.429742 0.440446 0.989277 0.774265 0.122625 0.802749 0.549307 0.114073 0.343628 0.618312 0.353991 0.054526 0.079499 0.906763 0.819751 0.805262 0.665865 0.79021 0.791567 0.135981 0.447199 0.514924 0.062358 0.082238 0.051589 0.026548 0.015915 0.02151 0.599416 0.508264 0.133546 0.609498 0.559485 0.604779 0.053526 0.108517 0.159261 0.172164 0.150605 0.241822 0.206032 0.089957 0.110485 0.059436 0.07992 0.092785 0.088192 0.501745 0.494991 0.468367 0.621936 0.46852 0.499102 0.143712 0.1392 0.128508 0.188668 0.136391 0.21618 0.149489 0.293835 0.225932 0.793504 0.176968 0.555887 0.467439 0.364516 0.384702 0.362028 0.472517 0.386156 0.273929 0.263537 0.22632 0.293434 0.20823 0.145863 0.796198 0.328927 0.867628 0.928683 0.748745 0.492798 0.239106 0.372862 0.769189 0.092621 0.243846 0.212403 0.125238 0.867824 0.996419 0.804835 0.496016 0.180733 0.361931 0.148615 0.270384
"rs150548543" 0.212007 0.801826 0.243558 0.148255 0.079367 0.065144 0.74271 0.96997 0.972956 0.882857 0.532307 0.44259 0.363619 0.776587 0.513538 0.234813 0.935574 0.911387 0.027278 0.081984 0.719313 0.7168 0.687402 0.995083 0.638991 0.767065 0.40631 0.732479 0.287614 0.109189 0.045258 0.019854 0.05343 0.028146 0.044301 0.618609 0.897285 0.88596 0.703844 0.778842 0.70808 0.725373 0.794203 0.879643 0.716829 0.865757 0.93121 0.991298 0.197011 0.082672 0.091158 0.229847 0.125733 0.249593 0.667821 0.643041 0.685927 0.445923 0.728181 0.253761 0.373016 0.742646 0.418059 0.379179 0.740084 0.651898 0.824812 0.966209 0.377256 0.924835 0.668693 0.891637 0.971044 0.351886 0.951722 0.808213 0.889502 0.780685 0.816426 0.738316 0.391412 0.875275 0.370462 0.509359 0.678349 0.831571 0.37628 0.290043 0.131181 0.213484 0.114508 0.225461 0.403893 0.625246 0.687771 0.730228 0.804153 0.522853 0.816536 0.485383 0.453334 0.480673 0.504955 0.641495 0.054979
"rs72806977" 0.647457 0.234949 0.391163 0.368773 0.532808 0.729986 0.409817 0.385396 0.792807 0.576054 0.336933 0.980982 0.931967 0.939634 0.122543 0.676571 0.758476 0.892163 0.253156 0.183728 0.958877 0.771324 0.876876 0.827125 0.825432 0.598079 0.400197 0.444867 0.157863 0.294682 0.283659 0.344908 0.147381 0.109037 0.128359 0.478993 0.547451 0.311351 0.657392 0.690039 0.730683 0.364793 0.395213 0.473768 0.578403 0.63186 0.653741 0.619571 0.292366 0.236603 0.198296 0.186811 0.145723 0.175891 0.407664 0.377926 0.404845 0.38781 0.444657 0.858471 0.265006 0.292276 0.53344 0.376889 0.279809 0.226918 0.469181 0.356592 0.864065 0.631107 0.456709 0.780222 0.698263 0.901282 0.364756 0.31805 0.337116 0.939595 0.20039 0.212882 0.23824 0.289426 0.250473 0.271312 0.951718 0.419766 0.776548 0.980969 0.883647 0.820612 0.629861 0.74844 0.858621 0.54917 0.577865 0.455841 0.590486 0.587464 0.557258 0.820365 0.800782 0.786517 0.822695 0.602142 0.598487
"rs118079972" 0.934004 0.48595 0.917252 0.801367 0.843856 0.927127 0.767207 0.243255 0.633618 0.657514 0.351987 0.333407 0.114024 0.260871 0.808847 0.143448 0.585575 0.888422 0.960567 0.85525 0.455629 0.61242 0.408523 0.596438 0.401897 0.108502 0.347169 0.594325 0.625292 0.770605 0.840139 0.914207 0.878247 0.935919 0.888214 0.550535 0.542122 0.930573 0.487774 0.566113 0.431692 0.438527 0.670966 0.685393 0.805628 0.779778 0.953131 0.851134 0.396778 0.446236 0.683631 0.63277 0.759214 0.706262 0.62015 0.636344 0.561961 0.602849 0.507219 0.060959 0.996643 0.993151 0.240187 0.871841 0.885216 0.836244 0.823652 0.242836 0.182785 0.439315 0.416611 0.942901 0.773805 0.584639 0.67593 0.701504 0.531341 0.65518 0.850231 0.764095 0.578557 0.711262 0.675516 0.544691 0.145986 0.947389 0.274833 0.354351 0.510968 0.483909 0.765893 0.433333 0.177574 0.687565 0.583136 0.742929 0.796576 0.356712 0.430876 0.699996 0.23376 0.536173 0.486283 0.345113 0.283328
