"rsid" "gene" "protein" "eQTL" "ref"
"411" "rs117670693" "RNY3P4" "." "." NA
"412" "rs117682550" "ELK3" "." "." NA
"413" "rs117704633" "SDK1" "." "." "https://en.wikipedia.org/wiki/SDK1. The protein encoded by this gene is a member of the immunoglobulin (免疫球蛋白) superfamily."
"414" "rs117723596" "CNTN5" "." "." NA
"415" "rs11772631" "RP11-760D2.5" "." "." NA
"416" "rs1177290" "KIAA1841" "." "Lymphoblastoid_EUR_exonlevel" NA
"417" "rs117736926" "TRPM3" "." "." NA
"418" "rs117758808" "TMEM132B" "." "." NA
"419" "rs117760438" "RP11-103H7.1" "." "." NA
"420" "rs117762159" "RGS6" "." "." NA
"421" "rs117781676" "LRRC43" "." "." NA
"422" "rs117785622" "SFSWAP" "." "." NA
"423" "rs117806350" "SNORD36" "." "." NA
"424" "rs117846090" "RP11-123B3.2" "." "." NA
"425" "rs117854756" "U6" "." "." NA
"426" "rs117921599" "LHFPL3" "." "." NA
"427" "rs117923771" "RP11-400K9.4" "." "." NA
"428" "rs117947815" "RP11-168K9.2" "." "." NA
"429" "rs117949397" "RNU105C" "." "." NA
"430" "rs117956062" "AP000946.2" "." "." NA
"431" "rs117958593" "LARGE" "." "." NA
"432" "rs117983060" "GALNT9" "." "." NA
"433" "rs118013485" "SLC7A10" "." "." NA
"434" "rs118017259" "FAM101A" "." "." NA
"435" "rs118020390" "ZNF512B" "." "." NA
"436" "rs118023697" "snoU13" "." "." NA
"437" "rs118032446" "USP25" "." "." NA
"438" "rs118034038" "DLG2" "." "." NA
"439" "rs1180343" "RP11-69E11.4" "." "Whole_Blood, Esophagus_Muscularis" NA
"440" "rs118045022" "RP11-78F17.1" "." "." NA
"441" "rs118054125" "ASIC2" "." "." NA
"442" "rs118071835" "PCSK2" "." "." NA
"443" "rs118095410" "TRAV22" "." "." NA
"444" "rs118097220" "SLC43A2" "." "." NA
"445" "rs118117440" "RP11-20E24.1" "." "." NA
"446" "rs118133732" "SGK3" "." "." NA
"447" "rs118142812" "OSBPL8" "." "." NA
"448" "rs118143558" "RP11-760D2.5" "." "." NA
"449" "rs118144878" "KRT8P11" "." "." NA
"450" "rs11814603" "KIAA1462" "." "Artery_Aorta" NA
"451" "rs118149249" "RTEL1" "." "." NA
"452" "rs118161048" "BRSK2" "MCF-7,CTCF,UT-A,vehicle" "." NA
"453" "rs11818987" "RP11-710A11.2" "." "." NA
"454" "rs11824734" "MS4A4A" "." "Whole_Blood" NA
"455" "rs11887534" "ABCG8" "HepG2,POL2,Stanford,forskolin" "." NA
"456" "rs11906768" "SIRPA" "." "Whole_Blood" NA
"457" "rs11908189" "ZNF831" "." "." NA
"458" "rs11930710" "CPLX1" "." "Esophagus_Muscularis, Lymphoblastoid_EUR_exonlevel" NA
"459" "rs11955153" "FGF18" "MCF-7,CTCF,UT-A,vehicle" "." NA
"460" "rs11957435" "CEP120" "." "Lymphoblastoid_EUR_exonlevel" NA
"461" "rs11978958" "Metazoa_SRP" "." "Cells_Transformed_fibroblasts, Lung, Skin_Sun_Exposed_Lower_leg" NA
"462" "rs11997157" "RP11-317N12.1" "." "." NA
"463" "rs12034740" "GNB1" "." "Lymphoblastoid_EUR_exonlevel, Skin_Sun_Exposed_Lower_leg" NA
"464" "rs12038657" "PRDM16" "." "." NA
"465" "rs12042908" "FPGT-TNNI3K" "." "." NA
"466" "rs12047069" "SKI" "." "Esophagus_Muscularis, Muscle_Skeletal, Nerve_Tibial" NA
"467" "rs12052715" "LY75" "." "Cells_Transformed_fibroblasts, Whole_Blood" NA
"468" "rs12082979" "GS1-204I12.2" "." "." NA
"469" "rs1209731" "NME7" "." "." NA
"470" "rs12100961" "RP5-1021I20.2" "." "Muscle_Skeletal, Lung, Whole_Blood" NA
"471" "rs12117364" "FHAD1" "." "." NA
"472" "rs12121068" "ASTN1" "." "." NA
"473" "rs12121947" "FMOD" "." "." NA
"474" "rs12133690" "SMYD3" "." "." NA
"475" "rs12134966" "DBT" "." "Adipose_Visceral_Omentum, Artery_Tibial, Thyroid" NA
"476" "rs12137525" "MIR4418" "A549,GR,HudsonAlpha,DEX_50nM;T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct;T-47D,GATA3,HudsonAlpha,DMSO_0.02pct;T-47D,P300,HudsonAlpha,DMSO_0.02pct" "." NA
"477" "rs12140418" "CHIT1" "." "." NA
"478" "rs12147822" "RP11-662J14.2" "." "." NA
"479" "rs12150045" "ALOX15" "." "." NA
"480" "rs12187943" "CDH18" "." "." NA
"481" "rs12208103" "BEND3" "." "." NA
"482" "rs12208753" "RP1-104O17.2" "." "." NA
"483" "rs12209223" "FILIP1" "." "." NA
"484" "rs12215712" "PI16" "." "Nerve_Tibial, Skin_Sun_Exposed_Lower_leg, Skin_Not_Sun_Exposed_Suprapubic" NA
"485" "rs12243817" "PFKP" "." "." NA
"486" "rs12277928" "CBL" "." "Whole_Blood, Esophagus_Muscularis" NA
"487" "rs12293302" "RP11-396O20.2" "." "." NA
"488" "rs1229984" "ADH1B" "." "." "https://en.wikipedia.org/wiki/ADH1B. This SNP is associated with the risk for alcohol dependence, alcohol use disorders and alcohol consumption, with the atypical genotype having reduced risk of alcoholism."
"489" "rs12324931" "CYLD" "." "Whole_Blood" NA
"490" "rs12350739" "BNC2" "." "." NA
"491" "rs12352830" "GNA14" "." "Artery_Tibial, Nerve_Tibial, Esophagus_Muscularis" NA
"492" "rs12368284" "COL2A1" "." "Lymphoblastoid_EUR_exonlevel, Brain_aveALL, Muscle_Skeletal" NA
"493" "rs12404787" "GS1-122H1.2" "." "." NA
"494" "rs12408688" "EPB41" "." "Esophagus_Mucosa, Testis" NA
"495" "rs12408825" "FAM46C" "." "Colon_Sigmoid, Whole_Blood" NA
"496" "rs12413816" "FRMD4A" "." "Pancreas" NA
"497" "rs12422460" "ANO2" "." "." NA
"498" "rs12434023" "NFKBIA" "MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr;MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "." NA
"499" "rs12445420" "RP11-467J12.4" "." "." NA
"500" "rs12449284" "ADCY9" "." "." NA
"501" "rs12449930" "UBE2O" "." "Whole_Blood" NA
"502" "rs12456471" "RP11-945C19.4" "." "." NA
"503" "rs12461028" "KANK2" "." "Artery_Tibial, Whole_Blood" NA
"504" "rs12466865" "SERTAD2" "." "Nerve_Tibial, Artery_Tibial, Adipose_Subcutaneous" NA
"505" "rs12469907" "SLC8A1" "." "." NA
"506" "rs12480649" "RP5-1031J8.1" "." "." NA
"507" "rs12483325" "BAGE4" "." "." NA
"508" "rs12492363" "FOXP1" "." "." NA
"509" "rs12496214" "IQSEC1" "." "." NA
"510" "rs12498514" "TLL1" "." "Lung" NA
"511" "rs12505616" "RP11-545H22.1" "." "." NA
"512" "rs12505677" "FAM53A" "." "." NA
"513" "rs12512883" "FBXL5" "." "Whole_Blood, Adipose_Subcutaneous, Skin_Sun_Exposed_Lower_leg" NA
"514" "rs1252096" "SORCS1" "." "." NA
"515" "rs12523094" "GPR98" "." "Esophagus_Mucosa" NA
"516" "rs12524255" "FAM46A" "." "." NA
"517" "rs12525914" "PHACTR1" "." "Whole_Blood" NA
"518" "rs12528131" "LINC00577" "HepG2,POL2,Stanford,forskolin" "Brain_Putamen_basal_ganglia" NA
"519" "rs12528918" "RNU7-66P" "." "." NA
"520" "rs12539300" "ZNF282" "." "Whole_Blood, Thyroid, Adrenal_Gland" NA
"521" "rs12539767" "ESYT2" "." "Testis, Lymphoblastoid_EUR_exonlevel" NA
"522" "rs12550567" "DLGAP2" "." "." NA
"523" "rs12550930" "FOCAD" "." "." NA
"524" "rs12554621" "ZNF618" "." "." NA
"525" "rs12567136" "CLCN6" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"526" "rs12575636" "RP11-338H14.1" "." "." NA
"527" "rs12582286" "RP11-554D14.6" "." "." NA
"528" "rs12586381" "RP11-111A21.1" "." "." NA
"529" "rs12593950" "CHRNB4" "." "Muscle_Skeletal" NA
"530" "rs1260326" "GCKR" "." "Lymphoblastoid_EUR_exonlevel, Cells_Transformed_fibroblasts, Whole_Blood" NA
"531" "rs12607330" "LIPG" "." "." NA
"532" "rs12623763" "RP11-111J6.2" "." "." NA
"533" "rs12632711" "FHIT" "." "." NA
"534" "rs12637163" "PXK" "." "Whole_Blood, Muscle_Skeletal" NA
"535" "rs12637414" "CRYBG3" "." "." NA
"536" "rs12662365" "BCKDHB" "." "Esophagus_Mucosa" NA
"537" "rs12671345" "AC015987.1" "." "." NA
"538" "rs12674939" "RP11-136O12.2" "." "." NA
"539" "rs12684581" "RP11-145E17.2" "." "." NA
"540" "rs12692250" "ATG16L1" "." "Nerve_Tibial, Skin_Sun_Exposed_Lower_leg, Adipose_Subcutaneous" NA
"541" "rs12692340" "AC107057.1" "." "." NA
"542" "rs12698051" "DNAJB6" "." "." NA
"543" "rs12698916" "AUTS2" "." "." NA
"544" "rs12702375" "HUS1" "." "." NA
"545" "rs12704868" "SHFM1" "." "." NA
"546" "rs12714592" "AC108696.1" "." "." NA
"547" "rs12716977" "Y_RNA" "." "Whole_Blood, Lymphoblastoid_EUR_exonlevel" NA
"548" "rs12722976" "COL11A1" "." "." NA
"549" "rs12725171" "C1orf177" "." "Esophagus_Mucosa" NA
"550" "rs12725758" "TRMT13" "." "." NA
"551" "rs12726010" "CAMTA1" "." "." NA
"552" "rs12727686" "Metazoa_SRP" "." "." NA
"553" "rs12760222" "RP11-317P15.4" "HeLa-S3,STAT1,Stanford,IFNg30;MCF-7,CMYC,UT-A,vehicle;MCF10A-Er-Src,POL2,Stanford,EtOH_0.01pct;T-47D,GATA3,HudsonAlpha,DMSO_0.02pct" "." NA
"554" "rs12778126" "OGDHL" "." "Nerve_Tibial, Testis" NA
"555" "rs12781734" "RSU1" "." "Whole_Blood" NA
"556" "rs12785905" "KDM2A" "." "Testis, Artery_Tibial, Esophagus_Muscularis" NA
"557" "rs1279395" "RP11-318G21.3" "." "." NA
"558" "rs12821256" "RP11-13A1.1" "MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "." NA
"559" "rs12830406" "LINC00485" "." "Brain_Cerebellar_Hemisphere" NA
"560" "rs12856221" "COL4A2" "." "." NA
"561" "rs12880237" "RAD51B" "." "." NA
"562" "rs12911265" "RP11-624L4.1" "." "." NA
"563" "rs12922061" "RP11-297L17.1" "." "." NA
"564" "rs12938273" "VMP1" "." "Lymphoblastoid_EUR_exonlevel" NA
"565" "rs12963780" "MIR4318" "." "." NA
"566" "rs12972898" "ZNF132" "." "Cells_Transformed_fibroblasts, Nerve_Tibial, Thyroid" NA
"567" "rs13032786" "MBD5" "." "Heart_Left_Ventricle, Testis" NA
"568" "rs13038647" "RP11-290F20.2" "." "Whole_Blood" NA
"569" "rs13040787" "ACTR5" "." "." NA
"570" "rs13046639" "COL6A2" "." "Artery_Tibial" NA
"571" "rs13067349" "EIF4E3" "." "Brain_Hippocampus" NA
"572" "rs13073255" "RARB" "." "." NA
"573" "rs13077732" "RP11-398A8.3" "." "Whole_Blood" NA
"574" "rs13104198" "PPP3CA" "." "." NA
"575" "rs13119514" "MMRN1" "." "." NA
"576" "rs13120371" "SLC7A11" "." "Lymphoblastoid_EUR_exonlevel, Lymphoblastoid_EUR_genelevel" NA
"577" "rs13121270" "ANKRD50" "." "." NA
"578" "rs13176077" "CSNK1G3" "." "." NA
"579" "rs13188740" "RAI14" "." "." NA
"580" "rs1320257" "CLSTN2" "." "." NA
"581" "rs13226583" "CCL24" "." "." NA
"582" "rs1323919" "PCDH9" "." "." NA
"583" "rs13256023" "CHD7" "." "." NA
"584" "rs13267216" "RP11-653B10.1" "." "." NA
"585" "rs13267464" "DEFA5" "." "." NA
"586" "rs13277892" "LYPLA1" "." "." NA
"587" "rs13278983" "SLC45A4" "." "Whole_Blood" NA
"588" "rs13281634" "PTK2" "." "Brain_Caudate_basal_ganglia, Testis" NA
"589" "rs13286210" "KLF9" "MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "Whole_Blood" NA
"590" "rs13302270" "PCSK5" "." "Brain_aveALL" NA
"591" "rs13322435" "RP11-6F2.4" "." "Artery_Tibial, Testis" NA
"592" "rs13388346" "EPHA4" "." "." NA
"593" "rs13420169" "THSD7B" "." "Thyroid" NA
"594" "rs13424581" "DOCK10" "." "." NA
"595" "rs13435717" "RNF150" "." "." NA
"596" "rs1343676" "SYT10" "." "." NA
"597" "rs13439826" "RP11-1049H7.1" "." "." NA
"598" "rs134638" "KREMEN1" "." "Heart_Left_Ventricle, Whole_Blood, Adipose_Subcutaneous" NA
"599" "rs1354127" "SLC45A2" "MCF-7,CTCF,UT-A,vehicle" "." NA
"600" "rs1355603" "RP11-291L15.2" "." "." NA
"601" "rs1367117" "APOB" "." "Adipose_Subcutaneous, Heart" NA
"602" "rs1375493" "ITGA4" "." "Whole_Blood" NA
"603" "rs137886491" "SNORD65" "." "." NA
"604" "rs137891884" "TSPEAR" "." "." NA
"605" "rs137915595" "SLC12A8" "." "." NA
"606" "rs137985857" "CTD-2349B8.1" "." "." NA
"607" "rs138028125" "PAN3" "A549,POL2,HudsonAlpha,EtOH_0.02pct" "." NA
"608" "rs138039785" "ZMYND8" "." "." NA
"609" "rs138040724" "RP11-701P16.4" "." "." NA
"610" "rs138041988" "AC096649.3" "." "." NA
"611" "rs138062434" "RP11-512M8.5" "." "." NA
"612" "rs138066259" "APBB2" "." "." NA
"613" "rs138127954" "RP13-977J11.2" "A549,GR,HudsonAlpha,DEX_100nM;A549,GR,HudsonAlpha,DEX_50nM;T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct" "." NA
"614" "rs138165400" "RP11-419J16.1" "." "." NA
"615" "rs1381957" "MEPE" "." "." NA
"616" "rs138199504" "PTCHD2" "." "." NA
"617" "rs138327472" "CRAMP1L" "." "." NA
"618" "rs138355990" "RP11-805I24.1" "." "." NA
"619" "rs138376361" "Y_RNA" "MCF-7,CTCF,UT-A,estrogen;MCF-7,CTCF,UT-A,vehicle" "." NA
"620" "rs138461868" "CTD-2165H16.4" "." "." NA
"621" "rs1384660" "LRP1B" "." "." NA
"622" "rs138554428" "C20orf78" "." "." NA
"623" "rs138570401" "GNPTG" "." "Thyroid, Esophagus_Mucosa, Whole_Blood" NA
"624" "rs138602365" "EXO1" "." "." NA
"625" "rs138615215" "SV2C" "." "." NA
"626" "rs138617387" "FAM69C" "." "." NA
"627" "rs138663731" "LPL" "." "." NA
"628" "rs1386776" "AC018359.1" "." "." NA
"629" "rs138715366" "YKT6" "." "." NA
"630" "rs138781102" "RP11-849N15.5" "." "." NA
"631" "rs138847462" "SLC16A12" "." "." NA
"632" "rs138866201" "SV2A" "." "." NA
"633" "rs138880754" "CADPS2" "." "." NA
"634" "rs138931287" "RP11-284F21.8" "A549,GR,HudsonAlpha,DEX_5nM;A549,POL2,HudsonAlpha,EtOH_0.02pct;K562,CMYC,Stanford,IFNa6h;K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h;K562,IRF1,Stanford,IFNg6h;MCF-7,CMYC,UT-A,estrogen;MCF10A-Er-Src,POL2,Stanford,EtOH_0.01pct;MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr;T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct;T-47D,P300,HudsonAlpha,DMSO_0.02pct" "." NA
"635" "rs138931544" "HNRNPC" "." "." NA
"636" "rs139008618" "INTS9" "." "." NA
"637" "rs139060983" "RP11-888D10.3" "MCF-7,CTCF,UT-A,vehicle" "." NA
"638" "rs139096844" "EIF2B5" "MCF-7,CMYC,UT-A,vehicle;T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct" "." NA
"639" "rs139128351" "AC133680.1" "." "." NA
"640" "rs139145626" "FIP1L1" "." "." NA
"641" "rs139193452" "IGSF9" "." "." NA
"642" "rs139245752" "RP1-23E21.2" "." "." NA
"643" "rs139300742" "C4orf37" "." "." NA
"644" "rs139312411" "RP4-575N6.5" "." "." NA
"645" "rs139315362" "AC010149.4" "." "." NA
"646" "rs139318757" "APOBEC3B-AS1" "." "." NA
"647" "rs139332799" "POU6F2" "." "." NA
"648" "rs139375848" "RP11-174J11.1" "." "." NA
"649" "rs139408118" "Metazoa_SRP" "." "." NA
"650" "rs139425945" "CTD-2281M20.1" "." "." NA
"651" "rs139443231" "C5orf42" "." "." NA
"652" "rs139447221" "TIAM1" "." "." NA
"653" "rs139508335" "RP11-229C3.2" "." "." NA
"654" "rs139517191" "Metazoa_SRP" "." "." NA
"655" "rs139519616" "RP11-31E23.1" "." "." NA
"656" "rs1396193" "FBXO8" "." "Thyroid, Stomach, Nerve_Tibial" NA
"657" "rs139645101" "DLGAP1" "." "." NA
"658" "rs139768427" "RP11-476K15.1" "." "." NA
"659" "rs139795374" "RP11-178F10.3" "." "." NA
"660" "rs1397974" "LYN" "." "." NA
"661" "rs139801347" "LINC00305" "." "." NA
"662" "rs139821907" "FARP1" "." "." NA
"663" "rs139838164" "MYO10" "." "." NA
"664" "rs139893407" "AC093611.1" "." "." NA
"665" "rs139931083" "7SK" "." "." NA
"666" "rs139976300" "RP11-35N6.1" "." "." NA
"667" "rs139997191" "UBE2D3" "." "." NA
"668" "rs140008388" "MIR31HG" "." "." NA
"669" "rs140011729" "RNU6-54" "." "." NA
"670" "rs140048460" "RP1-177I10.1" "." "." NA
"671" "rs140077333" "BRSK1" "." "." NA
"672" "rs140203572" "CTC-454M9.1" "." "." NA
"673" "rs140210080" "RP11-64B16.3" "." "." NA
"674" "rs140221783" "AC009120.4" "." "." NA
"675" "rs140289533" "CSMD1" "." "." NA
"676" "rs140289556" "UGT2A3" "." "." NA
"677" "rs140323343" "SRPK2" "." "." NA
"678" "rs140352266" "RP11-445O3.3" "." "." NA
"679" "rs140359981" "PTPN18" "." "." NA
"680" "rs140384296" "NLRP12" "." "." NA
"681" "rs140397680" "MORN1" "." "Artery_Tibial" NA
"682" "rs140422731" "AL449083.1" "." "." NA
"683" "rs140483471" "CTSC" "MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr;MCF10A-Er-Src,STAT3,Stanford,EtOH_0.01pct_12hr" "." NA
"684" "rs140517977" "FBXL7" "." "." NA
"685" "rs140542965" "CTA-282F2.3" "." "." NA
"686" "rs140576156" "WI2-81516E3.1" "." "." NA
"687" "rs1405876" "GRM3" "." "." NA
"688" "rs140608325" "RN5S454" "." "." NA
"689" "rs140667428" "PLSCR4" "." "." NA
"690" "rs140735088" "RP11-168G22.3" "." "." NA
"691" "rs140740446" "RP4-663N10.1" "." "." NA
"692" "rs140791551" "LAMA1" "." "." NA
"693" "rs140800460" "RP11-804N13.1" "." "." NA
"694" "rs140900921" "AC116553.1" "." "." NA
"695" "rs140940742" "RASA2" "." "." NA
"696" "rs140974112" "RP11-526P5.2" "." "." NA
"697" "rs140995706" "OSBPL8" "." "." NA
"698" "rs141086017" "PITPNM2" "A549,POL2,HudsonAlpha,DEX_100nM;A549,POL2,HudsonAlpha,EtOH_0.02pct" "." NA
"699" "rs141138229" "RN5S270" "." "." NA
"700" "rs141149205" "TRPC4" "." "." NA
"701" "rs141156232" "PJA2" "." "." NA
"702" "rs141202135" "ZDHHC17" "." "." "https://en.wikipedia.org/wiki/ZDHHC17. ZDHHC17 has been shown to interact with Huntingtin (与亨廷顿病有关的蛋白)."
"703" "rs1412234" "LINGO2" "." "." NA
"704" "rs141334361" "PITPNM2" "." "." NA
"705" "rs141353503" "USH2A" "." "." NA
"706" "rs141360726" "RALYL" "." "." NA
"707" "rs141373173" "FAM149A" "." "." NA
"708" "rs141390096" "BCL2" "." "." "https://en.wikipedia.org/wiki/Bcl-2. It has clinical significance in lymphoma."
"709" "rs141396583" "RALB" "K562,CJUN,Stanford,IFNg30;K562,CMYC,Stanford,IFNa6h;K562,CMYC,Stanford,IFNg30;K562,CMYC,Stanford,IFNg6h" "." NA
"710" "rs141415242" "AC008410.1" "." "." NA
"711" "rs141416647" "LMBRD1" "." "." NA
"712" "rs141446542" "RP11-446J8.1" "." "." NA
"713" "rs1414660" "FMN2" "." "Artery_Tibial, Cells_Transformed_fibroblasts" NA
"714" "rs141498464" "ERC2" "." "." NA
"715" "rs141503969" "SDK1" "." "." "https://en.wikipedia.org/wiki/SDK1. The protein encoded by this gene is a member of the immunoglobulin (免疫球蛋白) superfamily."
"716" "rs141520758" "TMX1" "." "." NA
"717" "rs141539410" "snoU13" "." "." NA
"718" "rs141617726" "CAMK2D" "." "." NA
"719" "rs141625737" "ITPR1" "." "." NA
"720" "rs141703487" "AC051649.16" "." "." NA
"721" "rs141705054" "PGM2" "." "." NA
"722" "rs141769798" "RN5S161" "." "." NA
"723" "rs141884334" "Metazoa_SRP" "." "." NA
"724" "rs141887299" "HERC2" "." "." "https://en.wikipedia.org/wiki/E3_ubiquitin_ligase_HERC2. SNPs of HERC2 are strongly associated with iris colour variability in humans. In particular, the rs916977 and rs12913832 SNPs have been reported as good predictors of this trait, and the latter is also significantly associated with skin and hair colour."
"725" "rs141888952" "CTSZ" "GM12878,NFKB,Stanford,TNFa" "." NA
"726" "rs141904717" "RP11-705O3.1" "." "." NA
"727" "rs141931802" "PTPRF" "." "." NA
"728" "rs141954133" "CSMD1" "." "." NA
"729" "rs141966412" "PLEKHB2" "." "." NA
"730" "rs141981217" "RP11-386M24.6" "." "." NA
"731" "rs142052338" "CTD-2354A18.1" "." "." NA
"732" "rs142074439" "ZNF718" "." "." NA
"733" "rs142080216" "SMYD3" "." "." NA
"734" "rs1421085" "FTO" "." "." "https://en.wikipedia.org/wiki/FTO_gene. Certain alleles of the FTO gene appear to be correlated with obesity in humans."
"735" "rs142109324" "RP11-116N8.1" "." "." NA
"736" "rs142118720" "AC068491.1" "." "." NA
"737" "rs142133414" "RP11-123G5.1" "." "." NA
"738" "rs142153307" "U6" "." "." NA
"739" "rs142231732" "CTC-454M9.1" "." "." NA
"740" "rs142236719" "RN5S231" "." "." NA
"741" "rs142530481" "SLC14A2" "." "." NA
"742" "rs142599545" "ID4" "." "." "https://en.wikipedia.org/wiki/ID4. This is inclusive of embryonic cellular growth, senescence, cellular differentiation, apoptosis, and as an oncogene in angiogenesis (胚胎细胞生长、衰老、细胞分化、细胞凋亡，以及作为血管生成中的致癌基因)."
"743" "rs142657083" "NT5C3" "." "Thyroid" NA
"744" "rs142666318" "FCRL4" "." "." NA
"745" "rs142770295" "FREM2" "." "." NA
"746" "rs142848030" "SIK3" "." "." NA
"747" "rs142849987" "RP4-550H1.6" "." "." NA
"748" "rs142885368" "ZNF644" "." "." NA
"749" "rs142915099" "KIF22" "." "Esophagus_Mucosa, Skin_Sun_Exposed_Lower_leg" NA
"750" "rs142952565" "RP11-654C22.2" "." "." NA
"751" "rs142976219" "MIR551B" "." "." NA
"752" "rs142998294" "MECOM" "." "." NA
"753" "rs143000631" "GPR12" "." "." NA
"754" "rs143033211" "SNORA7B" "." "." NA
"755" "rs143036477" "AC102953.4" "." "." NA
"756" "rs143040182" "PRDM10" "T-47D,FOXA1,HudsonAlpha,DMSO_0.02pct" "." NA
"757" "rs143061593" "GRIA4" "." "." NA
"758" "rs143068319" "RP11-669M2.1" "." "." NA
"759" "rs143120694" "Y_RNA" "." "." NA
"760" "rs143376494" "RP5-945F2.3" "." "." NA
"761" "rs143479231" "ATP13A4" "." "." NA
"762" "rs143539750" "GFRAL" "." "." NA
"763" "rs143551113" "SUGP1" "." "." NA
"764" "rs143568246" "RP11-347L18.1" "." "." NA
"765" "rs143586812" "AP001063.1" "." "." NA
"766" "rs143683391" "AC007064.24" "." "." NA
"767" "rs143739466" "AL589947.1" "." "." NA
"768" "rs143749430" "OR4F6" "." "." NA
"769" "rs143771361" "RP11-368L12.1" "." "." NA
"770" "rs143787183" "PHYHIPL" "." "." NA
"771" "rs143837938" "DBNDD1" "." "." NA
"772" "rs143853528" "ZNF486" "." "." NA
"773" "rs143858253" "RP11-834C11.3" "." "Muscle_Skeletal, Skin_Sun_Exposed_Lower_leg, Adipose_Subcutaneous" NA
"774" "rs143859879" "CELF4" "." "." NA
"775" "rs1438673" "WDR36" "." "Testis, Artery_Tibial" NA
"776" "rs143874402" "RP11-204C23.1" "." "." NA
"777" "rs144037699" "C6orf57" "." "." NA
"778" "rs144075040" "RP11-125K10.4" "." "." NA
"779" "rs144165285" "AL512640.1" "." "." NA
"780" "rs144265705" "DNAH5" "." "." NA
"781" "rs144290814" "PROKR2" "." "." NA
"782" "rs144304102" "AL391417.1" "." "." NA
"783" "rs144312944" "PDE8A" "." "." NA
"784" "rs144330193" "CDH18" "." "." NA
"785" "rs144351163" "DTNA" "." "." NA
"786" "rs1444147" "RP1-149C7.1" "." "." NA
"787" "rs144442616" "SGMS1" "." "." NA
"788" "rs144593692" "NAALADL2" "." "." NA
"789" "rs144611927" "RP11-538C21.1" "." "." NA
"790" "rs144749950" "GK2" "." "." NA
"791" "rs144763277" "KATNAL1" "." "." NA
"792" "rs144800467" "LINC00200" "." "." NA
"793" "rs144822019" "RP11-257A22.1" "." "." NA
"794" "rs144825939" "NTSR1" "." "." NA
"795" "rs144829224" "RP11-20E24.1" "." "." NA
"796" "rs1449717" "RP11-566K8.2" "." "." NA
"797" "rs144975211" "RP11-431K24.4" "." "." NA
"798" "rs144985179" "RP5-1177M21.1" "." "." NA
"799" "rs145003836" "RP11-439C8.1" "." "." NA
"800" "rs145040363" "AC068858.1" "." "." NA
"801" "rs145064354" "DET1" "." "." NA
"802" "rs145087566" "RN5S181" "." "." NA
"803" "rs145123864" "PCDH7" "." "." NA
"804" "rs145144670" "RP5-988G17.1" "." "." NA
"805" "rs145153924" "ERVMER61-1" "." "." NA
"806" "rs145164351" "FXYD6" "." "." NA
"807" "rs1451868" "CYP7B1" "." "." NA
"808" "rs145264430" "SRFBP1" "." "." NA
"809" "rs145304496" "RP11-531P20.1" "." "." NA
"810" "rs145310101" "RN5S318" "." "." NA
"811" "rs145311398" "U6" "." "." NA
"812" "rs145315818" "SNORA75" "." "." NA
"813" "rs145472755" "RP11-863P13.1" "MCF10A-Er-Src,STAT3,Harvard(Weissman),EtOH_0.01pct_4hr;MCF10A-Er-Src,STAT3,Harvard(Weissman),TAM_1uM_36hr" "." NA
"814" "rs145479105" "PLD5" "." "." NA
"815" "rs145479249" "GIPC2" "." "." NA
"816" "rs145498558" "FOLR3" "." "." NA
"817" "rs145502992" "RP11-35O7.1" "." "." NA
"818" "rs145542878" "HTATIP2" "." "." NA
"819" "rs145544404" "RP11-44K6.3" "." "." NA
"820" "rs145611933" "AKR1C2" "." "Colon_Transverse, Whole_Blood, Testis" NA
"821" "rs145646764" "GJD4" "." "." NA
"822" "rs145678603" "ABHD2" "." "." NA
"823" "rs145707640" "NADSYN1" "." "." NA
"824" "rs145765958" "RP11-124N3.3" "." "." NA
"825" "rs145817867" "ZBTB8B" "." "." NA
"826" "rs145870849" "LPO" "." "." "https://en.wikipedia.org/wiki/Lactoperoxidase#Function. The lactoperoxidase system plays an important role in the innate immune system."
"827" "rs145902807" "SHB" "." "." NA
"828" "rs145966756" "RP11-250B2.5" "." "." NA
"829" "rs146033197" "RP11-240A16.1" "." "." NA
"830" "rs146068055" "C7" "." "." NA
"831" "rs146086833" "U6" "." "." NA
"832" "rs146089378" "CTD-2165H16.4" "." "." NA
